amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
49203203134,-14688833114172861944,1370504898072434450810928157226923,1245484397883827475,195176,21500062,24
13930397502,-4155056357304665074,1370240585262983129944549059229068,1245484397883827475,195173,21500063,340
-5851977,1755666505506520,1370240696610082744949164072941039,1245483151379506051,195173,21500177,412
-6076468911,1823170668488975099,1370356324928674394825661110520608,1245483151379506051,195174,21500459,15
-3181732317,954762868669777706,1370416877474338988602375199535497,1245483151379506051,195175,21500530,67
11085378619,-3306170633203922596,1370206563835179628395683459369648,1245481868291425271,195172,21500797,83
17979120767,-5360045092589414796,1369865598194096451109617521227914,1245481868291425271,195167,21500798,59
18521983401,-5519097676222562344,1369514514827283803731339273833114,1245481868291425271,195162,21500804,45
13121442162,-3908156943558420082,1369265907359492834167488995749167,1245481868291425271,195158,21500849,150
12117927656,-3608005031217115512,1369036393292493452685354064453396,1245481868291425271,195155,21500851,249
-30328401,9082917260538916,1369036969345822331217509057132875,1245481868291425271,195155,21500862,363
-8375974675,2508775806177785442,1369196079972188742624898353973935,1245481868291425271,195157,21500874,15
9986679,-2973639202856355,1369195890816209125437551383521782,1245511616917891588,195157,21501017,320
1350084392,-401994369515695291,1369170319577205653059570028146213,1245511616917891588,195157,21501232,197
14454021664,-4302816420061366529,1368896613387743318551310633111383,1245511616917891588,195153,21501235,262
3800000000,-1130936084972687504,1368824673482312979382333966626067,1245511616917891588,195152,21501236,562
18453085980,-5490221005811983776,1368475435373106026037990216472795,1245511616917891588,195147,21501238,31
946200000,-281440935117965578,1368457532651170063022300252159968,1245511616917891588,195147,21501245,262
21327920609,-6341895896297514323,1368054118703122134669743621804154,1245511616917891588,195141,21501247,84
181933735,-54082242119241864,1368050678480959966304089760412410,1245511616917891588,195141,21501248,270
8253438333,-2453159195322564934,1367894630722946007178508780036384,1245511616917891588,195138,21501249,24
-877121900,262250424084302002,1367911262672483652548153756314596,1245511616917891588,195139,21501266,7
82855864422,-24596771717935102322,1366347550995684926826614768470365,1249833727653110578,195116,21501473,92
-29929707,8928339413374903,1366348115276069791551801814664913,1249828661714641235,195116,21501474,163
22812875509,-6762425108002930952,1365919436904498148950635025183562,1249828661714641235,195109,21501486,104
31708860812,-9392418875538976595,1365324040021814762653329908493740,1249828661714641235,195101,21501487,18
