amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
213653,-113352924537005,1827653711945459675254872617862590,1613094638254782313,200934,25598911,39
-4314452408,2302957795836029696,1827766483839218657981534389592010,1613094638254782313,200935,25598913,28
-5785021071,3088360367375866368,1827917715549964242819425993323307,1613094638254782313,200937,25598922,12
-2603526383,1390071417224712648,1827985784963335214212014761419223,1613094638254782313,200937,25598922,199
-1998648155,1067185867033158300,1828038043225052277826658677220889,1613094638254782313,200938,25598923,24
-15988298670,8539216463053582000,1828458121957891892632669390318195,1602056872577935203,200943,25598925,26
747733,-397056311065027,1828458102321858691293292003357667,1602056872577935203,200943,25598980,223
-2650065826,1415757732344052992,1828527907197055120240626441598207,1602056872577935203,200943,25599009,43
-9974755179,5329831956191817728,1828790698101190895496460204293149,1602056872577935203,200946,25599010,15
-8931569883,4773724753697262592,1829026069770397474552796422515906,1602056872577935203,200949,25599014,15
-2357540432,1260257728370314938,1829088207614630590968278752715137,1602056872577935203,200949,25599014,164
-5111202122,2732561960354499584,1829222938396777363336971716114063,1602056872577935203,200951,25599015,32
-1168226814,624616473375000111,1829253735526804253857566392440227,1602056872577935203,200951,25599015,498
-1413946052,756023447535036032,1829291011764959336832570451257160,1602056872577935203,200952,25599017,390
-6722528329,3594893220417181696,1829468260362556773084338020533986,1602056872577935203,200954,25599021,8
-4701958255,2514801064825518090,1829592254299134709730976278995181,1602056872577935203,200955,25599022,50
-2061494542,1102679739218574976,1829646622655965324482270532641881,1602056872577935203,200956,25599023,93
-3930854301,2102769488189122304,1829750301102027471488270524539239,1602056872577935203,200957,25599027,109
-2048184893,1095749574372520320,1829804327762478036405708975038665,1602056872577935203,200957,25599028,169
-2753868016,1473381929148137144,1829876973836966058578037291750406,1602056872577935203,200958,25599029,183
-5912521527,3163728552746827776,1830032963574288010461912269964526,1602056872577935203,200960,25599031,32
-6665141439,3567094424543566848,1830208841533793747337882179151125,1602056872577935203,200962,25599032,18
-102130955550,54744992947648900237,1832908079767169211164203202443922,1602056872577935203,200991,25599033,11
-14679208941,7881733882180590540,1833296693890481219809367067800416,1602056872577935203,200995,25599034,84
-26194647977,14073125950846030965,1834013154936373375547365626389250,1497007887936934603,201003,25599034,1026
-1100685229,591590372318586276,1834044370540968386159103761416030,1497007887936934603,201004,25599037,126
21477323674,-11470792728522199623,1833452509367636691144790225710751,1602161853278632916,200997,25599192,15
1570361405,-838426724858418905,1833411048507313840327316178468348,1602161853278632916,200997,25599193,406
33487024051,-17869930277200131599,1832527366414132483155678155795218,1602161853278632916,200987,25599194,15
7440116220,-3967986110289454103,1832331146383205505938605207453696,1602161853278632916,200985,25599302,156
4690713767,-2501229452798196051,1832207458621468929093474825803662,1602161853278632916,200984,25599306,28
935510481,-498801895087724786,1832182792475832293161339600777821,1602161853278632916,200983,25599306,128
28537687140,-15209468811309339340,1831430672292548609816211297889073,1602161853278632916,200975,25599310,83
2396504,-1276718090196428,1831430609157835891504815683089041,1602161853278632916,200975,25599312,19
315786,-168232117837452,1831430600838625479105528446680498,1602161853278632916,200975,25599424,93
1169478307,-623019712557991215,1831399792024313039953693952417235,1602161853278632916,200975,25599439,126
68930510,-36720904496568497,1831397976146732899524683195814909,1602161853278632916,200975,25599440,335
1780366,-948441417064140,1831397929245559605050614012777038,1602161853278632916,200975,25599562,52
1950235,-1038934807256726,1831397877869417062012106881743196,1602161853278632916,200975,25599672,12
923479,-491958146630974,1831397853541700163913797250911536,1602161853278632916,200975,25599688,60
-8754781191,4692575100693492626,1831629208912957781009864929050624,1602161853278632916,200977,25599705,148
-26306290246,14107344980371359744,1832324735348946147918275115309735,1602161853278632916,200985,25599706,11
-3515486299,1886070889435845288,1832417723233312479670903150617929,1602161853278632916,200986,25599722,243
194511,-103735660778225,1832417718103502545772482815932101,1602161853278632916,200986,25599756,2057
20168031819,-10752821355095967588,1831885982638658572612441351897809,1602161853278632916,200980,25599809,175
232644,-124000831507143,1831885976506720023178439756026449,1602161853278632916,200980,25599811,46
17098396050,-9111322293702057646,1831435414460240113067859254521839,1602161853278632916,200975,25599845,27
8790762579,-4682640782221019255,1831203854194259165086002133860352,1602161853278632916,200973,25599860,28
60578,-32264311061073,1831203852598763632018308475170369,1602161853278632916,200973,25599872,45
9307973092,-4956856646307679281,1830958732142843453841207694928243,1602161853278632916,200970,25599876,13
4731418663,-2519155243357588706,1830834157936678850014399966529605,1602161853278632916,200969,25599877,32
3084937,-1642404995144788,1830834076718461350149371769977891,1602161853278632916,200969,25599879,188
6962704991,-3706538187357312881,1830650785492751333838146765496767,1602161853278632916,200967,25599900,27
13387902277,-7124853584992250241,1830298455884748905475392256608266,1602161853278632916,200963,25599902,18
471154,-250692995481526,1830298443487783301436683994243304,1602161853278632916,200963,25599912,16
4163082281,-2214974932069353432,1830188911237016066963765348407003,1602161853278632916,200962,25599989,28
1406865448,-748465197045982293,1830151899044929181001458953880249,1602161853278632916,200961,25599990,43
3394693534,-1805883149466688672,1830062596704248101414061244904659,1602161853278632916,200960,25600014,360
330901286,-176020913184309177,1830053892331785895289469309402409,1602161853278632916,200960,25600024,654
62000000,-32980334169198156,1830052261428347528658189328986763,1602161853278632916,200960,25600032,712
156374,-83181179417766,1830052257314972848345642105003085,1602161853278632916,200960,25600078,46
115883,-61642661679128,1830052254266694793708621856194293,1602161853278632916,200960,25600081,802
142212,-75648113158363,1830052250525836158893787511641809,1602161853278632916,200960,25600142,18
15634978894,-8315008151834873489,1829641066839360984276212753166894,1602161853278632916,200956,25600186,19
626658,-333194908424358,1829641050362610960831761612013100,1602161853278632916,200956,25600188,116
927949,-493391669626181,1829641025964105616602583531895430,1602168445681988236,200956,25600278,94
103929,-55259076892835,1829641023231512089215904781832633,1602168445681988236,200956,25600342,189
