sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_001,1,2.308,6.773,0.052,0.026
v3_005,1,3.227,7.456,0.763,0.382
v3_030,1,13.496,28.184,0.184,0.092
v3_100,1,32.39,73.861,0.002,0.001
v3_001+v3_100,2,2.308,6.773,0.053,0.027
v3_001+v3_005,2,3.227,7.456,0.815,0.407
v3_005+v3_030,2,3.227,7.456,0.947,0.473
v3_005+v3_100,2,3.227,7.456,0.765,0.382
v3_001+v3_030,2,13.496,28.184,0.235,0.118
v3_030+v3_100,2,13.496,28.184,0.185,0.093
v3_001+v3_005+v3_030,3,3.227,7.456,0.998,0.499
v3_001+v3_005+v3_100,3,3.227,7.456,0.816,0.408
v3_005+v3_030+v3_100,3,3.227,7.456,0.948,0.474
v3_001+v3_030+v3_100,3,13.496,28.184,0.237,0.118
v3_001+v3_005+v3_030+v3_100,4,3.227,7.456,1.0,0.5
