sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_001,1,3.482,11.254,0.1,0.05
v3_005,1,4.177,9.882,0.781,0.391
v3_030,1,13.822,29.214,0.117,0.058
v3_100,1,50.899,90.613,0.002,0.001
v3_001+v3_100,2,3.482,11.254,0.102,0.051
v3_001+v3_005,2,4.177,9.882,0.881,0.441
v3_005+v3_030,2,4.177,9.882,0.898,0.449
v3_005+v3_100,2,4.177,9.882,0.783,0.392
v3_001+v3_030,2,7.931,27.105,0.217,0.108
v3_030+v3_100,2,13.822,29.214,0.119,0.059
v3_001+v3_005+v3_030,3,4.177,9.882,0.998,0.499
v3_001+v3_005+v3_100,3,4.177,9.882,0.883,0.442
v3_005+v3_030+v3_100,3,4.177,9.882,0.9,0.45
v3_001+v3_030+v3_100,3,7.934,27.078,0.219,0.109
v3_001+v3_005+v3_030+v3_100,4,4.177,9.882,1.0,0.5
