target,B,phantom_events,phantom_tick_events,episodes,real_eps,glitch_eps,unresolved_eps,real_captured_pct,glitch_rejected_pct,median_open_delay
v3_005,5.0,45,301.0,12,1,11,0,1.0,1.0,0.0
v3_005,10.0,0,0.0,12,1,11,0,1.0,1.0,0.0
v3_005,13.0,0,0.0,12,1,11,0,1.0,0.9722675367047309,0.0
v3_005,20.0,0,0.0,12,1,11,0,1.0,0.9579934747145188,0.0
v3_005,30.0,0,0.0,12,1,11,0,1.0,0.9074225122349102,0.0
v3_005,50.0,0,0.0,12,1,11,0,1.0,0.7854812398042414,0.0
v3_005,100.0,0,0.0,12,1,11,0,1.0,0.3849918433931484,0.0
v3_005,inf,0,0.0,12,1,11,0,1.0,0.0,0.0
v3_030,5.0,0,0.0,0,0,0,0,,,
v3_030,10.0,0,0.0,0,0,0,0,,,
v3_030,13.0,0,0.0,0,0,0,0,,,
v3_030,20.0,0,0.0,0,0,0,0,,,
v3_030,30.0,0,0.0,0,0,0,0,,,
v3_030,50.0,0,0.0,0,0,0,0,,,
v3_030,100.0,0,0.0,0,0,0,0,,,
v3_030,inf,0,0.0,0,0,0,0,,,
v3_100,5.0,0,0.0,1,1,0,0,0.9931972789115646,,0.0
v3_100,10.0,0,0.0,1,1,0,0,0.9931972789115646,,0.0
v3_100,13.0,0,0.0,1,1,0,0,1.0,,0.0
v3_100,20.0,0,0.0,1,1,0,0,1.0,,0.0
v3_100,30.0,0,0.0,1,1,0,0,1.0,,0.0
v3_100,50.0,0,0.0,1,1,0,0,1.0,,0.0
v3_100,100.0,0,0.0,1,1,0,0,1.0,,0.0
v3_100,inf,0,0.0,1,1,0,0,1.0,,0.0
